"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
76,11,10,34,6,0,0,2.8235198495139,380.198549883328,56.7928276740707,30,8,0,6,0,0,3,3,1.41175992475695,1.41175992475695,52.9351592529294,52.9351592529294,25.9259612354355,25.9259612354355
77,11,10,27,9,0,4,4.19292697652814,384.391476859856,57.3664926000714,40,3,0,0,0,0,0,0,0,0,52.9351592529294,52.9351592529294,23.15753660145,23.15753660145
78,11,10,30,7,0,3,3.22855377192667,387.620030631783,53.9055480808802,38,5,0,0,0,0,0,0,0,0,52.9351592529294,52.9351592529294,23.3914511125758,23.3914511125758
79,11,10,34,6,0,0,2.73965848646349,390.359689118247,51.4197455362426,30,8,0,6,0,0,3,3,1.36982924323174,1.36982924323174,54.3049884961611,54.3049884961611,23.6277283965412,23.6277283965412
80,11,10,27,9,0,4,4.06839285239828,394.428081970645,51.9391369052956,40,3,0,0,0,0,0,0,0,0,54.3049884961611,54.3049884961611,20.8360892894355,20.8360892894355
81,11,10,30,7,0,3,3.13266249634667,397.560744466992,48.4233706114097,38,5,0,0,0,0,0,0,0,0,54.3049884961611,54.3049884961611,21.0465548378137,21.0465548378137
82,11,10,34,6,0,0,2.65828788975703,400.219032356749,45.8821925367775,30,8,0,6,0,0,3,3,1.32914394487852,1.32914394487852,55.6341324410396,55.6341324410396,21.2591463008219,21.2591463008219
83,11,10,27,9,0,4,3.9475575162892,404.166589873038,46.3456490270479,40,3,0,0,0,0,0,0,0,0,55.6341324410396,55.6341324410396,18.4435821220423,18.4435821220423
84,11,10,30,7,0,3,3.03961928754268,407.20620916058,42.773382855604,38,5,0,0,0,0,0,0,0,0,55.6341324410396,55.6341324410396,18.6298809313559,18.6298809313559
85,11,10,34,6,0,0,2.57933408114336,409.785543241724,40.1751341975798,30,8,0,6,0,0,3,3,1.28966704057168,1.28966704057168,56.9237994816113,56.9237994816113,18.8180615468241,18.8180615468241
86,11,10,27,9,0,4,3.83031111049789,413.615854352222,40.580943633919,40,3,0,0,0,0,0,0,0,0,56.9237994816113,56.9237994816113,15.977839946287,15.977839946287
87,11,10,30,7,0,3,2.94933955508338,416.565193907305,36.9504481150697,38,5,0,0,0,0,0,0,0,0,56.9237994816113,56.9237994816113,16.1392322689768,16.1392322689768
88,11,10,34,6,0,0,2.50272527959932,419.067919186904,34.2933819344138,30,8,0,6,0,0,3,3,1.25136263979966,1.25136263979966,58.175162121411,58.175162121411,16.3022548171482,16.3022548171482
89,11,10,27,9,0,4,3.71654704020499,422.784466227109,34.6397797317311,40,3,0,0,0,0,0,0,0,0,58.175162121411,58.175162121411,13.4366210274225,13.4366210274225
90,11,10,30,7,0,3,2.86174122095784,425.646207448067,30.949272456294,38,5,0,0,0,0,0,0,0,0,58.175162121411,58.175162121411,13.5723444721439,13.5723444721439
91,11,10,34,6,0,0,2.42839183606994,428.074599284137,28.231588339691,30,8,0,6,0,0,3,3,1.21419591803497,1.21419591803497,59.3893580394459,59.3893580394459,13.7094388607514,13.7094388607514
