"t","x_h0","y_h0","x_so","y_so","x_h_so","y_h_so","p_so","ap_so","v_so","x_ne","y_ne","x_h_ne","y_h_ne","x_s1_ne","x_s2_ne","y_s1_ne","y_s2_ne","p1_ne","p2_ne","ap1_ne","ap2_ne","v1_ne","v2_ne"
79,0,0,32,9,0,0,4.10948772969523,850.589485942876,191.174381063644,25,23,0,20,0,0,10,10,4.56609747743915,4.56609747743915,237.691869857612,237.691869857612,95.6040446970851,95.6040446970851
80,0,0,25,22,0,18,9.94496030586246,860.534446248738,193.105435417822,34,7,0,2,0,0,1,1,0.452043650266475,0.452043650266475,238.143913507879,238.143913507879,86.4687320172577,86.4687320172577
81,0,0,32,9,0,0,4.0277089238743,864.562155172613,176.874177189719,34,14,0,12,0,0,6,6,2.68513928258286,2.68513928258286,240.829052790461,240.829052790461,86.3320525426846,86.3320525426846
82,0,0,25,22,0,18,9.74705559577579,874.309210768389,178.66078504012,41,6,0,0,0,0,0,0,0,0,240.829052790461,240.829052790461,81.1434874168531,81.1434874168531
83,0,0,32,9,0,0,3.9475575162892,878.256768284678,162.283621252647,32,19,0,16,0,0,8,8,3.50894001447929,3.50894001447929,244.337992804941,244.337992804941,81.9631186028819,81.9631186028819
84,0,0,25,22,0,18,9.55308918941986,887.809857474098,163.922849750148,38,8,0,0,0,0,0,0,0,0,244.337992804941,244.337992804941,74.7102208109918,74.7102208109918
85,0,0,32,9,0,0,3.86900112171504,891.678858595813,147.396817929443,27,23,0,18,0,0,9,9,3.86900112171504,3.86900112171504,248.206993926656,248.206993926656,75.4648695060523,75.4648695060523
86,0,0,25,22,0,18,9.3629827145504,901.041841310363,148.885674676205,31,11,0,8,0,0,4,4,1.70236049355462,1.70236049355462,249.90935442021,249.90935442021,67.1362318242953,67.1362318242953
87,0,0,32,9,0,0,3.79200799939291,904.833849309756,132.207752198187,37,8,0,0,0,0,0,0,0,0,249.90935442021,249.90935442021,63.7739715396922,63.7739715396922
88,0,0,25,22,0,18,9.17665935853085,914.010508668287,133.543184038572,27,22,0,20,0,0,10,10,4.1712087993322,4.1712087993322,254.080563219543,254.080563219543,64.4181530703962,64.4181530703962
89,0,0,32,9,0,0,3.71654704020499,917.727055708492,116.710286907649,37,5,0,0,0,0,0,0,0,0,254.080563219543,254.080563219543,54.9678313842386,54.9678313842386
90,0,0,25,22,0,18,8.99404383729608,926.721099545788,117.889178694595,35,15,0,12,0,0,6,6,2.4529210465353,2.4529210465353,256.533484266078,256.533484266078,55.5230620042814,55.5230620042814
91,0,0,32,9,0,0,3.64258775410491,930.363687299893,100.89816029757,39,9,0,4,0,0,2,2,0.809463945356648,0.809463945356648,257.342948211435,257.342948211435,50.0232949538196,50.0232949538196
92,0,0,25,22,0,18,8.81506236493389,939.178749664827,101.917333633909,35,16,0,12,0,0,6,6,2.40410791770924,2.40410791770924,259.747056129144,259.747056129144,48.5083787412319,48.5083787412319
93,0,0,32,9,0,0,3.57010025779823,942.748849922625,84.7649834685954,37,12,0,0,0,0,0,0,0,0,259.747056129144,259.747056129144,42.9377563042746,42.9377563042746
94,0,0,25,22,0,18,8.63964262387171,951.388492546497,85.6211954228237,17,31,0,28,0,0,14,14,5.49795439700927,5.49795439700927,265.245010526153,265.245010526153,43.3714710144188,43.3714710144188
95,0,0,32,9,0,0,3.49905526266804,954.887547809165,68.304237800832,26,5,0,0,0,0,0,0,0,0,265.245010526153,265.245010526153,29.668152539817,29.668152539817
96,0,0,25,22,0,18,8.46771373565666,963.355261544821,68.9941795968,31,11,0,8,0,0,4,4,1.53958431557394,1.53958431557394,266.784594841727,266.784594841727,29.9678308483,29.9678308483
97,0,0,32,9,0,0,3.42942406294095,966.784685607762,51.50927232,37,8,0,0,0,0,0,0,0,0,266.784594841727,266.784594841727,26.23013217,26.23013217
98,0,0,25,22,0,19,8.29920623231709,975.08389184008,52.029568,27,22,0,20,0,0,10,10,3.77236646923504,3.77236646923504,270.556961310962,270.556961310962,26.495083,26.495083
99,0,0,34,7,0,2,2.61424996317988,977.698141803259,33.3632,37,5,0,0,0,0,0,0,0,0,270.556961310962,270.556961310962,16.6617,16.6617
100,0,0,34,14,0,0,5.17621492709617,982.874356730356,31.68,35,15,0,0,0,0,0,0,0,0,270.556961310962,270.556961310962,16.83,16.83
101,0,0,13,32,0,32,11.7130349207433,994.587391651099,32,10,34,0,34,0,0,34,34,6.2225498016449,6.2225498016449,276.779511112607,276.779511112607,17,17
